Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00893248714072777,-0.00410748668992322,-0.126949191048676,0,0,0,60.6490348569728,1.93062635388689,-9.28355662262115E-06,-0.000147443513712794,2.82233845782533,3.80713670511141E-06,4.57188386851391,0,0,0,0,0,0,package://model_modified/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_modified/meshes/base_link.STL,,zong-1,frame_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link0,-1.85892599924298E-07,-0.00115098665543706,0.018830080730643,0,0,0,0.655152540803042,0.00156276083969846,-3.36599648618648E-08,-1.62894681490701E-10,0.00121051829401654,-5.21192954217805E-06,0.00262778163467102,0,0,0,0,0,0,package://model_modified/meshes/arm_link0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link0.STL,,Zu 12 00_默认-1,frame_arm0,axis_arm0,arm_joint0,fixed,0.46925,0,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_link1,6.56593142922546E-06,-0.0021798618257366,-0.00131736708112085,0,0,0,3.60449209211676,0.0126654074039028,-2.62089433740127E-07,-1.31830270672264E-07,0.0127154549514285,0.000389410015223878,0.0111093940722602,0,0,0,0,0,0,package://model_modified/meshes/arm_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link1.STL,,Zu 12 01_默认-1,frame_arm1,axis_arm1,arm_joint1,revolute,0,0,0.14261,0,0,0,arm_link0,0,0,-1,160,2.09,-4.71,4.71,,,,,,,,
arm_link2,0.297295848633661,-7.21650765328485E-06,0.181245685891374,0,0,0,12.2380790500907,0.0343806286053289,5.21573028637576E-07,-4.57728396292352E-06,0.119109147801218,-5.70041950554426E-10,0.116279402991015,0,0,0,0,0,0,package://model_modified/meshes/arm_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link2.STL,,Zu 12 02_默认-1,frame_arm2,axis_arm2,arm_joint2,revolute,0,0,0,1.5708,-1.5708,0,arm_link1,0,0,-1,159.24,2.09,-1.48,4.63,,,,,,,,
arm_link3,0.279323373643599,-2.05269174786693E-05,-0.0168804752155456,0,0,0,4.95956568648549,0.00703926044842849,-1.10355720200029E-06,-0.0058150273292785,0.121787936376109,-1.14663299583859E-07,0.121496286554896,0,0,0,0,0,0,package://model_modified/meshes/arm_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link3.STL,,Zu 12 03_默认-1,frame_arm3,axis_arm3,arm_joint3,revolute,0.59497,-2.3063E-05,0,-3.1416,0,0,arm_link2,0,0,1,82.38,2.09,-3.05,3.05,,,,,,,,
arm_link4,-2.96649884655165E-05,-0.00262123797534006,0.124278582104431,0,0,0,0.838886390347174,0.00145630007823869,-1.63799148198374E-09,6.54274434216106E-09,0.00098615661868495,3.14742670990734E-06,0.0014481473926624,0,0,0,0,0,0,package://model_modified/meshes/arm_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link4.STL,,Zu 12 04_默认-1,frame_arm4,axis_arm4,arm_joint4,revolute,0.57464,-4.5713E-05,0,-3.1416,0,-1.5708,arm_link3,0,0,1,13.44,3.14,-1.48,4.63,,,,,,,,
arm_link5,1.93539596238246E-07,0.12717221554454,-0.00113544003881827,0,0,0,0.838308466241377,0.00145558285451265,4.55756640118538E-09,6.62993366020226E-09,0.00100189715251814,-1.22054880754547E-06,0.0014494885141089,0,0,0,0,0,0,package://model_modified/meshes/arm_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link5.STL,,Zu 12 05_默认-1,frame_arm5,axis_arm5,arm_joint5,revolute,-2.9874E-05,-0.11445,0,1.5708,0,0,arm_link4,0,0,1,12.06,3.14,-4.71,4.71,,,,,,,,
arm_link6,-4.9133202951579E-05,0.00034489173314256,-0.0420522876754529,0,0,0,0.185615002431531,0.000124025995543342,-5.32236134534583E-08,2.5668503304522E-08,0.000124255184258649,-2.96050182378141E-07,0.000211261380376879,0,0,0,0,0,0,package://model_modified/meshes/arm_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model_modified/meshes/arm_link6.STL,,Zu 12 06_默认-1,frame_arm6,axis_arm6,joint_link6,revolute,0,0,0,1.5708,0,0,arm_link5,0,0,1,5.46,3.14,-4.71,4.71,,,,,,,,
turn_link1,4.78495572497906E-06,-0.00403710570631544,-0.0635741590696821,0,0,0,0.216185282126058,0.00026246870165202,9.23224201533741E-12,2.57328267573515E-08,0.000263417398814689,1.65492626580282E-06,0.000198159506041251,0,0,0,0,0,0,package://model_modified/meshes/turn_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_modified/meshes/turn_link1.STL,,zlg1-1,frame_turn1,axis_turn1,joint_turn1,revolute,0.51025,-0.53065,-0.4154,3.1416,0,0,base_link,0,0,1,24,392.7,-6.28,6.28,,,,,,,,
wheel_link1,-1.15220264951255E-06,5.18490487599887E-07,0.000203528912736117,0,0,0,0.983628441668968,0.00172003840396133,-7.71953620229793E-09,3.30005292958557E-08,0.00172002480878013,-1.48278196985132E-08,0.00304607448874349,0,0,0,0,0,0,package://model_modified/meshes/wheel_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_modified/meshes/wheel_link1.STL,,ptl11-1,frame_wheel1,axis_wheel1,joint_wheel1,continuous,0,0,0,1.5708,1.5708,0,turn_link1,0,0,-1,,,,,,,,,,,,
