Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00893431238084795,-0.00410685218850798,-0.126974415298966,0,0,0,60.6584049873887,1.93063361069271,-1.08148006992139E-05,-0.000147443513716209,2.82233947881137,3.80713670524455E-06,4.57189084727919,0,0,0,0,0,0,package://robot_modle/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_modle/meshes/base_link.STL,,zong-1,frame_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_link0,-1.85892599924298E-07,-0.00115098665543706,0.0188300807306432,0,0,0,0.655152540803042,0.00156276083969846,-3.36599648618771E-08,-1.62894681484622E-10,0.00121051829401654,-5.21192954217806E-06,0.00262778163467102,0,0,0,0,0,0,package://robot_modle/meshes/arm_link0.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link0.STL,,Zu 12 00_默认-1,frame_arm0,axis_arm0,arm_joint0,fixed,0.469251651718155,0,0.02,0,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_link1,6.56593143250062E-06,-0.00217986182575047,-0.00131736708112296,0,0,0,3.60449209211676,0.0126654074039028,-2.62089433741316E-07,-1.31830270669369E-07,0.0127154549514285,0.000389410015223875,0.0111093940722602,0,0,0,0,0,0,package://robot_modle/meshes/arm_link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link1.STL,,Zu 12 01_默认-1,frame_arm1,axis_arm1,arm_joint1,revolute,0,0,0.14261,0,0,0,arm_link0,0,0,-1,160,2.09,-4.71,4.71,,,,,,,,
arm_link2,0.297295860029644,-7.22116929952055E-06,0.181245687804858,0,0,0,12.2380791922919,0.0343806292140874,5.21480259951953E-07,-4.57209805955594E-06,0.119109154320758,3.32647013373687E-10,0.116279406836501,0,0,0,0,0,0,package://robot_modle/meshes/arm_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link2.STL,,Zu 12 02_默认-1,frame_arm2,axis_arm2,arm_joint2,revolute,0,0,0,1.5708,-1.5708,0,arm_link1,0,0,-1,159.24,2.09,-1.48,4.63,,,,,,,,
arm_link3,0.279323373643594,-2.05269174754497E-05,-0.0168804752155597,0,0,0,4.95956568648557,0.0070392604484286,-1.10355720175606E-06,-0.00581502732927868,0.121787936376111,-1.14663299532286E-07,0.121496286554897,0,0,0,0,0,0,package://robot_modle/meshes/arm_link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link3.STL,,Zu 12 03_默认-1,frame_arm3,axis_arm3,arm_joint3,revolute,0.59497,-2.3063E-05,0,-3.1416,0,0,arm_link2,0,0,1,82.38,2.09,-3.05,3.05,,,,,,,,
arm_link4,-2.96649884686251E-05,-0.002621237975338,0.124278582104445,0,0,0,0.838886390347174,0.00145630007823869,-1.63799148217372E-09,6.54274434315661E-09,0.00098615661868495,3.14742670990643E-06,0.0014481473926624,0,0,0,0,0,0,package://robot_modle/meshes/arm_link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link4.STL,,Zu 12 04_默认-1,frame_arm4,axis_arm4,arm_joint4,revolute,0.574643539264634,-4.5712785851082E-05,0,-3.14159265358979,0,-1.5707963267949,arm_link3,0,0,1,13.44,3.14,-1.48,4.63,,,,,,,,
arm_link5,1.93547867122223E-07,0.12717221555251,-0.0011354400305007,0,0,0,0.838308466445079,0.00145558323350275,4.49383625882674E-09,6.58455661563857E-09,0.00100189729657383,-1.22072724248397E-06,0.00144948878190334,0,0,0,0,0,0,package://robot_modle/meshes/arm_link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link5.STL,,Zu 12 05_默认-1,frame_arm5,axis_arm5,arm_joint5,revolute,-2.9874E-05,-0.11445,0,1.5708,0,0,arm_link4,0,0,1,12.06,3.14,-4.71,4.71,,,,,,,,
arm_link6,-4.913320295441E-05,0.000344891733140895,-0.0420522876754666,0,0,0,0.18561500243153,0.000124025995543342,-5.32236134535511E-08,2.56685033045269E-08,0.000124255184258649,-2.96050182378096E-07,0.000211261380376879,0,0,0,0,0,0,package://robot_modle/meshes/arm_link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_modle/meshes/arm_link6.STL,,Zu 12 06_默认-1,frame_arm6,axis_arm6,joint_link6,revolute,0,0,0,1.5707963267949,0,0,arm_link5,0,0,1,5.46,3.14,-4.71,4.71,,,,,,,,
turn_link1,4.78495572497906E-06,-0.00533710570631507,-0.0635741590696821,0,0,0,0.216185282126058,0.00026246870165202,9.23224201425085E-12,2.5732826757356E-08,0.000263417398814689,1.65492626580328E-06,0.00019815950604125,0,0,0,0,0,0,package://robot_modle/meshes/turn_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_modle/meshes/turn_link1.STL,,zlg1-1,frame_turn1,axis_turn1,turn_joint1,revolute,0.51025165171796,-0.531954815283265,-0.415396961061793,3.14159265358979,0,0,base_link,0,0,1,24,392.7,-6.28,6.28,,,,,,,,
wheel_link1,-9.23771441119214E-07,-1.45099633808154E-07,9.05810189412715E-05,0,0,0,1.00158503747343,0.00173475166931306,9.86515466133112E-10,-1.16441874880337E-08,0.00173476885800945,1.80126237976292E-09,0.00304652603387399,0,0,0,0,0,0,package://robot_modle/meshes/wheel_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_modle/meshes/wheel_link1.STL,,ptl1-1,frame_wheel1,axis_wheel1,wheel_joint1,continuous,0,0,0,1.5707963267949,1.5707963267949,0,turn_link1,0,0,-1,,,,,,,,,,,,
